669.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
670.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
671.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
672.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.003	0.001	0.006	0.002
673.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
674.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
675.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
676.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
677.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.003	0.001	0.006	0.002
678.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.003	0.001	0.006	0.002
679.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
680.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.000	0.003	0.001	0.006	0.002
681.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.000	0.003	0.001	0.006	0.002
682.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
683.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
684.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
685.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
686.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
687.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
688.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
689.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
690.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
691.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.003	0.001	0.006	0.002
692.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
693.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
694.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.001	0.003	0.001	0.006	0.002
695.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
696.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.003	0.001	0.006	0.002
697.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
698.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
699.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
700.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
701.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
702.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
703.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
704.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
705.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
706.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
707.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
708.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
709.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
710.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
711.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
712.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
713.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
714.00	-0.000	-0.000	-0.000	0.013	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
715.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
716.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
717.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
718.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
719.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
720.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
721.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
722.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
723.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
724.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
725.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
726.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
727.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
728.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
729.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
730.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
731.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
732.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
733.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
734.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
735.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
736.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
737.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
738.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
739.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
740.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
741.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
742.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
743.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
744.00	-0.000	-0.000	-0.000	0.014	-0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
745.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
746.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
747.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
748.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
749.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
750.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
751.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
752.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
753.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
754.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
755.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
756.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
757.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
758.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
759.00	0.000	0.000	0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
760.00	0.001	0.001	0.001	0.015	0.001	0.007	0.001	0.003	0.002	0.005	0.002	0.007	0.003
761.00	0.000	0.000	0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
762.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
763.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
764.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
765.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
766.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
767.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
768.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
769.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
770.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
771.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
772.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
773.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
774.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
775.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
776.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
777.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
778.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
779.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
780.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
781.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.004	0.001	0.006	0.002
782.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.000	0.003	0.001	0.006	0.002
783.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
784.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
785.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
786.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
787.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
788.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
789.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
790.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
791.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
792.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
793.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
794.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
795.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
796.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
797.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
798.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
799.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
800.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
801.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
802.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
803.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
804.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
805.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
806.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
807.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
808.00	-0.000	-0.000	-0.000	0.014	0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
809.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
810.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
811.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
812.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
813.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
814.00	-0.000	-0.000	-0.000	0.014	-0.000	0.005	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
815.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
816.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
817.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
818.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
819.00	-0.000	-0.000	0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
820.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
821.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
822.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
823.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
824.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
825.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
826.00	0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
827.00	0.000	-0.000	0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
828.00	0.000	0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
829.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
830.00	-0.000	-0.000	0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
831.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
832.00	-0.000	-0.000	-0.000	0.014	-0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
833.00	-0.000	-0.000	-0.000	0.014	-0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
834.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
835.00	0.000	0.000	-0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
836.00	0.000	0.000	0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
837.00	0.000	0.000	0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
838.00	0.000	0.000	0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
839.00	0.000	0.000	0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
840.00	0.000	-0.000	-0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
841.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
842.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
843.00	-0.000	-0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
844.00	0.000	0.000	0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
845.00	-0.000	0.000	-0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
846.00	0.000	0.000	0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
847.00	0.000	0.000	0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
848.00	0.000	-0.000	0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
849.00	0.000	0.000	0.000	0.014	0.000	0.006	0.000	0.002	0.001	0.004	0.001	0.006	0.002
850.00	0.000	0.000	0.000	0.014	0.000	0.006	-0.000	0.002	0.001	0.004	0.001	0.006	0.002
